****************************************************************************************************
Name                          Team 1                        Team 2                        Team 3                        
****************************************************************************************************
Adam Mitchell                 New York Knicks               No team                       No team                       
Adam Ramirez                  Brooklyn Nets                 Dallas Mavericks              Chicago Bulls                 
Alan Peterson                 Milwaukee Bucks               No team                       No team                       
Alan Wright                   Dallas Cowboys                Baltimore Ravens              San Francisco 49ers           
Alexander Hernandez           Los Angeles Lakers            No team                       No team                       
Andrew Nguyen                 San Francisco 49ers           Chicago Bears                 No team                       
Andrew Taylor                 Los Angeles Clippers          Chicago Bulls                 Miami Heat                    
Anthony Gutierrez             New England Patriots          Miami Dolphins                No team                       
Anthony Martinez              New York Giants               Buffalo Bills                 No team                       
Anthony Morgan                Los Angeles Rams              No team                       No team                       
Anthony Nelson                Seattle Seahawks              Miami Dolphins                No team                       
Anthony Parker                Denver Broncos                Kansas City Chiefs            No team                       
Anthony Rodriguez             Milwaukee Bucks               Phoenix Suns                  Chicago Bulls                 
Austin Peterson               Green Bay Packers             No team                       No team                       
Austin Wright                 Baltimore Ravens              New York Giants               No team                       
Benjamin Cooper               Kansas City Chiefs            No team                       No team                       
Benjamin Robinson             Miami Dolphins                New England Patriots          Green Bay Packers             
Billy Richardson              Miami Dolphins                New England Patriots          No team                       
Brandon Campbell              Golden State Warriors         No team                       No team                       
Brandon Ortiz                 Miami Heat                    No team                       No team                       
Brandon Walker                Baltimore Ravens              Los Angeles Rams              Chicago Bears                 
Brian Nguyen                  Los Angeles Lakers            No team                       No team                       
Bruce Cooper                  Dallas Cowboys                Chicago Bears                 Baltimore Ravens              
Bruce Robinson                Baltimore Ravens              New York Giants               No team                       
Bryan Wright                  San Antonio Spurs             Dallas Mavericks              Miami Heat                    
Carl Cooper                   Golden State Warriors         Milwaukee Bucks               Dallas Mavericks              
Carl Robinson                 Golden State Warriors         Philadelphia 76ers            Chicago Bulls                 
Christopher Peterson          Kansas City Chiefs            Green Bay Packers             No team                       
Christopher Wright            Denver Broncos                New York Giants               Los Angeles Rams              
Donald Ortiz                  Pittsburgh Steelers           New York Giants               Los Angeles Rams              
Douglas Hernandez             Phoenix Suns                  Los Angeles Lakers            Golden State Warriors         
Douglas Sanchez               Dallas Mavericks              No team                       No team                       
Dylan Nguyen                  New England Patriots          Baltimore Ravens              Green Bay Packers             
Dylan Taylor                  San Antonio Spurs             Philadelphia 76ers            No team                       
Edward Bennett                Boston Celtics                Dallas Mavericks              No team                       
Edward Ruiz                   Los Angeles Clippers          Boston Celtics                No team                       
Edward Scott                  Boston Celtics                Chicago Bulls                 Los Angeles Lakers            
Eric Nguyen                   Philadelphia 76ers            No team                       No team                       
Ethan Allen                   Miami Dolphins                No team                       No team                       
Frank Jackson                 Dallas Mavericks              No team                       No team                       
Frank Perez                   Phoenix Suns                  No team                       No team                       
Gabriel Green                 Los Angeles Lakers            San Antonio Spurs             No team                       
Gabriel Turner                Baltimore Ravens              No team                       No team                       
Gary Johnson                  Brooklyn Nets                 No team                       No team                       
Gary Martin                   Milwaukee Bucks               No team                       No team                       
Gary Stewart                  Dallas Mavericks              Brooklyn Nets                 Chicago Bulls                 
Gregory Baker                 Green Bay Packers             Baltimore Ravens              No team                       
Gregory Hall                  Boston Celtics                Golden State Warriors         Phoenix Suns                  
